Codice_Prodotto;Codice_EAN;Prezzo_Acquisto;Prezzo_Vendita;Prezzo_Listino;Spese_Consegna;Spese_Consegna_Incluse;Attivo;Codice_Fornitore;Codice_Cliente;Descrizione_Breve;Descrizione_Estesa;Data_Lancio;Classificazione;Descrizione_Classificazione;Codice_Marchio;Descrizione_Marchio;Iva;Note;Link_Scheda_Energetica;Link_Video;Data_Fuori_Produzione;Raee;Raee Annegata;Siae;Siae Annegata
"9050109134";"4712900080056";"8.85";"12.99";"12.99";"0";"0";"1";"";"";"SCREEN PROTECTOR ZENFONE LASER 5.5";"";"";"0704";"ACCESSORI";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6801007002";"4711387155547";"644.00";"799.00";"799.00";"0";"0";"1";"";"";"CONSOLE ROG ALLY 2023";"";"";"0803";"GAME";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219109";"4711387545263";"839.50";"1099.00";"1099.00";"0";"0";"1";"";"";"N.BOOK VIVO S 15.6""OLED QUALCOMM  RAM16 SSD512QUA";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219108";"4711387390221";"771.50";"999.00";"999.00";"0";"0";"1";"";"";"N.BOOK VIVOB S 15.6""OLED R5-7535HS RAM16 SSD512AM";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219107";"4711387539934";"644.00";"799.00";"799.00";"0";"0";"1";"";"";"N.BOOK ZEN 14""WQ R5-7430U RAM16 SSD512AMD RADEON";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219103";"4711387625613";"1235.50";"1549.00";"1549.00";"0";"0";"1";"";"";"N.BOOK GAMING TUF 15,6""FHD I7-12700H RAM 16GB 512";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219101";"4711387651155";"246.10";"309.00";"309.00";"0";"0";"1";"";"";"N.BOOK 15,6"" FHD N4020 RAM 4GB SSD 128GBINTEL UHD";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219099";"4711387532683";"466.65";"579.00";"579.00";"0";"0";"1";"";"";"N.BOOK 15,6"" FHD I3-1215U RAM 8GB SSD 512GBINTEL";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219098";"4711387234471";"597.50";"749.00";"749.00";"0";"0";"1";"";"";"N.BOOK 15,6"" FHD I5-1235U RAM 16GB SSD 512GBINTEL";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219097";"4711387531020";"630.50";"799.00";"799.00";"0";"0";"1";"";"";"N.BOOK ZEN 14"" FHD R5-7430U RAM 8GB SSD 512GBAMD";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219095";"4711387429181";"926.50";"1149.00";"1149.00";"0";"0";"1";"";"";"N.BOOK TUF GAMING 15,6""FHD R5-7535HS RAM16GB SSD5";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219089";"4711387389003";"992.00";"1299.00";"1299.00";"0";"0";"1";"";"";"N.BOOK ZEN 14""OLED I7-13700H RAM16 SSD512INTEL IR";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219077";"4711387084281";"1297.50";"1699.90";"1699.90";"0";"0";"1";"";"";"N.BOOK GAMING TUF 15,6""FHD I7-13700H RAM16 SSD1TB";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"6206219075";"4711387161241";"1145.00";"1499.00";"1499.00";"0";"0";"1";"";"";"N.BOOK ZEN 13.3OLED  I7-1355U 16GB SSD512INTEL IR";"";"";"0601";"HARDWARE";"ASS";"ASUS";"22";"";"";"";"";"0";"0";"0";"0"
"9033318051";"8018080482489";"7.05";"12.95";"12.95";"0";"0";"1";"";"";"CUSTODIA GOMMA FINE IPHONE 16 PRO TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318050";"8018080482472";"7.05";"12.95";"12.95";"0";"0";"1";"";"";"CUSTODIA GOMMA FINE IPHONE 16 PRO MAX TR";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318049";"8018080482465";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA TETRA IPHONE 16 TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318048";"8018080482458";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA TETRA IPHONE 16 PLUS TRASPARENT";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318047";"8018080482441";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA TETRA IPHONE 16 PRO TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318046";"8018080482434";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA TETRA IPHONE 16 PRO MAX TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318045";"8018080482359";"8.15";"14.95";"14.95";"0";"0";"1";"";"";"CUSTODIA MOOD OPPO A60 NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318044";"8018080481673";"12.80";"24.95";"24.95";"0";"0";"1";"";"";"CUST STAND GALAXY TAB S6 LITE (2024) NE";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318040";"8018080480393";"20.45";"39.95";"39.95";"0";"0";"1";"";"";"CUSTODIA IPAD AIR 10.9"""" (2024/2022) NER";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318039";"8018080480249";"20.45";"39.95";"39.95";"0";"0";"1";"";"";"CUSTODIA IPAD PRO 11'' (2024) NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318038";"8018080480188";"23.00";"44.95";"44.95";"0";"0";"1";"";"";"CUSTODIA FOLIO IPAD 12.9'' (2024) ROSA";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
