"Codice_Prodotto";"Codice_EAN";"Quantita_Disponibile";"Quantita_in_Arrivo";"Data_Arrivo";"Codice_Fornitore";"Codice_Cliente"
"9050109134";"4712900080056";"0";"0";"";"";""
"6801007002";"4711387155547";"0";"0";"";"";""
"6206219109";"4711387545263";"0";"54";"";"";""
"6206219108";"4711387390221";"0";"52";"";"";""
"6206219107";"4711387539934";"0";"104";"";"";""
"6206219103";"4711387625613";"41";"34";"";"";""
"6206219101";"4711387651155";"167";"0";"";"";""
"6206219099";"4711387532683";"0";"135";"";"";""
"6206219098";"4711387234471";"159";"108";"";"";""
"6206219097";"4711387531020";"0";"0";"";"";""
"6206219095";"4711387429181";"9";"0";"";"";""
"6206219089";"4711387389003";"10";"0";"";"";""
"6206219077";"4711387084281";"0";"0";"";"";""
"6206219075";"4711387161241";"0";"0";"";"";""
"9033318022";"8018080478277";"0";"0";"";"";""
"9033318021";"8018080478260";"0";"0";"";"";""
"9033318020";"8018080478253";"0";"0";"";"";""
"9033318019";"8018080478246";"0";"0";"";"";""
"9033318018";"8018080477775";"0";"0";"";"";""
"9033318017";"8018080477768";"0";"0";"";"";""
"9033318016";"8018080477096";"0";"0";"";"";""
"9033318011";"8018080476426";"0";"0";"";"";""
"9033318008";"8018080477225";"0";"0";"";"";""
"9033318007";"8018080477201";"0";"0";"";"";""
"9033318006";"8018080477195";"0";"0";"";"";""
"9033318005";"8018080477140";"0";"0";"";"";""
"9033318004";"8018080477133";"0";"0";"";"";""
"9033318003";"8018080477126";"0";"0";"";"";""
"9033318001";"8018080477102";"0";"0";"";"";""
"9033318125";"8018080485350";"0";"0";"";"";""
"9033318124";"8018080485312";"0";"0";"";"";""
"9033318121";"8806095705231";"0";"0";"";"";""
"9033318120";"8806095622873";"0";"0";"";"";""
"9033318118";"8806095620138";"0";"0";"";"";""
"9033318057";"8018080482564";"0";"0";"";"";""
"9033318056";"8018080482557";"0";"0";"";"";""
"9033318054";"8018080482519";"0";"0";"";"";""
"9033318053";"8018080482502";"0";"0";"";"";""
"9033318090";"8018080483462";"0";"0";"";"";""
"9033318082";"8018080483370";"0";"0";"";"";""
"9033318081";"8018080482892";"0";"0";"";"";""
"9033318080";"8018080482885";"0";"0";"";"";""
"9033318079";"8018080482878";"0";"0";"";"";""
"9033318078";"8018080482861";"0";"0";"";"";""
"9033318076";"8018080482847";"0";"0";"";"";""
"9033318074";"8018080482823";"0";"0";"";"";""
"9033318070";"8018080482779";"0";"0";"";"";""
"9033318069";"8018080482762";"0";"0";"";"";""
"9033318027";"8018080478758";"0";"0";"";"";""
"9033318064";"8018080482717";"0";"0";"";"";""
"9033318063";"8018080482700";"0";"0";"";"";""
"9033318060";"8018080482595";"0";"0";"";"";""
"9033318059";"8018080482588";"0";"0";"";"";""
"9033318058";"8018080482571";"0";"0";"";"";""
"9033318026";"8018080478635";"0";"0";"";"";""
"9033318025";"8018080478628";"0";"0";"";"";""
"9033318024";"8018080478314";"0";"0";"";"";""
"9033318023";"8018080478307";"0";"0";"";"";""
"9033318052";"8018080482496";"0";"0";"";"";""
"9033318051";"8018080482489";"0";"0";"";"";""
"9033318050";"8018080482472";"0";"0";"";"";""
"9033318049";"8018080482465";"0";"0";"";"";""
"9033318048";"8018080482458";"0";"0";"";"";""
"9033318047";"8018080482441";"0";"0";"";"";""
"9033318046";"8018080482434";"0";"0";"";"";""
"9033318045";"8018080482359";"0";"0";"";"";""
"9033318044";"8018080481673";"0";"0";"";"";""
"9033318040";"8018080480393";"0";"0";"";"";""
